"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2021-3-1","1,717.50","1,735.40","1,759.90","1,676.20","1.02M","-0.81%"
"2021-2-1","1,731.60","1,867.30","1,877.80","1,718.10","136.60K","-6.54%"
"2021-1-1","1,852.70","1,912.50","1,966.80","1,804.70","1.05M","-2.47%"
"2020-12-1","1,899.60","1,784.10","1,915.40","1,783.30","96.21K","6.43%"
"2020-11-1","1,784.80","1,885.30","1,973.30","1,771.30","939.99K","-5.43%"
"2020-10-1","1,887.20","1,901.10","1,945.30","1,866.70","110.00K","-0.81%"
"2020-9-1","1,902.60","1,973.70","2,001.20","1,851.00","5.45M","-3.84%"
"2020-8-1","1,978.60","1,997.40","2,089.20","1,874.20","7.18M","-0.37%"
"2020-7-1","1,985.90","1,806.90","2,005.40","1,777.50","729.52K","9.72%"
"2020-6-1","1,810.00","1,766.50","1,813.00","1,683.80","43.86K","2.80%"
"2020-5-1","1,760.70","1,699.70","1,787.50","1,683.30","856.83K","3.51%"
"2020-4-1","1,701.00","1,590.70","1,789.00","1,580.00","165.00K","6.54%"
"2020-3-1","1,596.60","1,598.40","1,707.80","1,453.00","1.58M","1.58%"
"2020-2-1","1,571.80","1,603.60","1,697.00","1,556.90","319.70K","-1.38%"
"2020-1-1","1,593.80","1,527.50","1,619.60","1,526.00","1.44M","4.22%"
"2019-12-1","1,529.30","1,474.10","1,534.50","1,465.80","176.48K","3.46%"
"2019-11-1","1,478.10","1,521.40","1,525.20","1,453.10","1.39M","-2.87%"
"2019-10-1","1,521.80","1,485.80","1,532.40","1,471.80","208.55K","2.85%"
"2019-9-1","1,479.60","1,535.20","1,566.20","1,477.10","7.30M","-3.26%"
"2019-8-1","1,529.40","1,425.60","1,565.00","1,412.10","9.04M","6.37%"
"2019-7-1","1,437.80","1,411.00","1,460.30","1,390.90","800.95K","1.28%"
"2019-6-1","1,419.60","1,317.40","1,447.00","1,317.40","38.91K","7.80%"
"2019-5-1","1,316.90","1,291.10","1,317.50","1,273.20","974.68K","1.95%"
"2019-4-1","1,291.70","1,302.90","1,320.70","1,274.00","110.51K","-0.98%"
"2019-3-1","1,304.50","1,322.00","1,330.80","1,287.50","1.01M","-1.38%"
"2019-2-1","1,322.70","1,332.10","1,356.00","1,311.30","110.39K","-0.67%"
"2019-1-1","1,331.60","1,291.40","1,337.20","1,281.50","957.14K","3.41%"
"2018-12-1","1,287.70","1,233.30","1,292.60","1,233.00","112.60K","4.54%"
"2018-11-1","1,231.80","1,222.30","1,245.00","1,202.40","990.04K","0.90%"
"2018-10-1","1,220.80","1,201.70","1,252.00","1,192.00","160.30K","1.57%"
"2018-9-1","1,201.90","1,206.30","1,218.00","1,190.00","4.60M","-0.40%"
"2018-8-1","1,206.70","1,232.70","1,233.70","1,167.10","6.04M","-2.18%"
"2018-7-1","1,233.60","1,260.00","1,272.30","1,215.70","644.48K","-2.11%"
"2018-6-1","1,260.20","1,309.60","1,318.90","1,253.00","57.96K","-3.86%"
"2018-5-1","1,310.80","1,322.10","1,332.40","1,286.80","1.10M","-1.09%"
"2018-4-1","1,325.30","1,336.30","1,375.10","1,317.00","142.49K","-0.60%"
"2018-3-1","1,333.30","1,325.60","1,362.60","1,309.30","1.19M","0.73%"
"2018-2-1","1,323.70","1,352.50","1,369.60","1,314.50","187.33K","-1.83%"
"2018-1-1","1,348.40","1,309.90","1,370.50","1,309.30","1.28M","2.62%"
"2017-12-1","1,314.00","1,281.70","1,314.60","1,242.70","89.44K","2.57%"
"2017-11-1","1,281.10","1,275.70","1,304.50","1,270.10","956.69K","0.50%"
"2017-10-1","1,274.70","1,286.60","1,312.70","1,267.00","138.59K","-1.10%"
"2017-9-1","1,288.90","1,326.90","1,362.40","1,282.50","6.23M","-2.52%"
"2017-8-1","1,322.20","1,275.60","1,331.90","1,257.10","6.47M","3.83%"
"2017-7-1","1,273.40","1,245.70","1,277.30","1,207.60","532.99K","2.20%"
"2017-6-1","1,246.00","1,274.80","1,302.10","1,240.90","43.11K","-2.58%"
"2017-5-1","1,279.00","1,273.10","1,280.00","1,217.80","697.15K","0.57%"
"2017-4-1","1,271.70","1,254.30","1,300.30","1,248.80","82.43K","1.37%"
"2017-3-1","1,254.50","1,252.00","1,264.20","1,198.00","802.35K","-0.21%"
"2017-2-1","1,257.20","1,216.00","1,268.10","1,203.40","114.90K","3.52%"
"2017-1-1","1,214.50","1,154.40","1,223.00","1,149.70","738.56K","5.22%"
"2016-12-1","1,154.30","1,178.70","1,192.60","1,127.20","90.69K","-1.93%"
"2016-11-1","1,177.00","1,281.90","1,341.00","1,172.80","833.00K","-7.82%"
"2016-10-1","1,276.90","1,324.60","1,325.70","1,246.90","169.63K","-3.33%"
"2016-9-1","1,320.90","1,311.70","1,357.60","1,305.50","3.30M","0.72%"
"2016-8-1","1,311.40","1,357.20","1,374.20","1,306.90","3.98M","-3.40%"
"2016-7-1","1,357.50","1,329.10","1,380.90","1,314.70","578.21K","2.53%"
"2016-6-1","1,324.00","1,220.90","1,365.50","1,212.30","81.17K","8.50%"
"2016-5-1","1,220.30","1,296.60","1,308.00","1,205.00","938.19K","-5.59%"
"2016-4-1","1,292.60","1,236.00","1,300.50","1,211.80","117.74K","4.49%"
"2016-3-1","1,237.00","1,239.60","1,287.80","1,207.70","883.60K","0.15%"
"2016-2-1","1,235.10","1,116.20","1,264.10","1,116.20","136.29K","10.59%"
"2016-1-1","1,116.80","1,062.10","1,128.70","1,061.90","654.09K","5.28%"
"2015-12-1","1,060.80","1,064.80","1,088.80","1,046.60","91.25K","-0.49%"
"2015-11-1","1,066.00","1,142.20","1,143.10","1,052.50","611.05K","-6.68%"
"2015-10-1","1,142.30","1,115.90","1,192.10","1,106.00","70.57K","2.36%"
"2015-9-1","1,116.00","1,133.80","1,156.40","1,097.70","2.41M","-1.46%"
"2015-8-1","1,132.50","1,095.10","1,169.80","1,080.20","3.18M","3.42%"
"2015-7-1","1,095.10","1,171.60","1,175.30","1,072.80","451.20K","-6.63%"
"2015-6-1","1,172.80","1,193.30","1,205.50","1,163.20","22.07K","-1.50%"
"2015-5-1","1,190.70","1,184.00","1,232.80","1,170.00","582.63K","0.62%"
"2015-4-1","1,183.40","1,184.00","1,225.00","1,175.20","58.90K","-0.06%"
"2015-3-1","1,184.10","1,214.90","1,223.70","1,142.40","730.99K","-2.46%"
"2015-2-1","1,214.00","1,280.20","1,286.50","1,190.80","66.38K","-5.16%"
"2015-1-1","1,280.00","1,185.00","1,308.80","1,168.30","631.89K","8.03%"
"2014-12-1","1,184.90","1,159.20","1,239.40","1,143.40","85.96K","0.76%"
"2014-11-1","1,176.00","1,171.10","1,208.20","1,132.00","585.60K","0.31%"
"2014-10-1","1,172.40","1,208.50","1,256.20","1,161.90","111.55K","-3.29%"
"2014-9-1","1,212.30","1,288.50","1,290.90","1,205.00","2.68M","-5.83%"
"2014-8-1","1,287.40","1,284.20","1,324.30","1,273.40","2.19M","0.36%"
"2014-7-1","1,282.80","1,327.80","1,347.00","1,281.30","341.64K","-2.99%"
"2014-6-1","1,322.40","1,247.50","1,330.30","1,240.90","33.37K","6.11%"
"2014-5-1","1,246.30","1,292.10","1,315.70","1,243.00","568.51K","-3.83%"
"2014-4-1","1,296.00","1,283.60","1,331.00","1,268.50","86.98K","0.93%"
"2014-3-1","1,284.10","1,330.60","1,392.20","1,283.40","600.36K","-2.86%"
"2014-2-1","1,321.90","1,243.20","1,345.90","1,241.20","104.74K","6.58%"
"2014-1-1","1,240.30","1,204.00","1,280.10","1,203.70","611.97K","3.10%"
"2013-12-1","1,203.00","1,251.90","1,266.70","1,182.30","77.12K","-3.86%"
"2013-11-1","1,251.30","1,324.30","1,327.80","1,226.40","482.77K","-5.53%"
"2013-10-1","1,324.50","1,328.40","1,362.30","1,253.70","101.95K","-0.24%"
"2013-9-1","1,327.70","1,394.00","1,416.40","1,291.50","2.86M","-4.90%"
"2013-8-1","1,396.10","1,323.40","1,434.00","1,271.80","3.20M","6.33%"
"2013-7-1","1,313.00","1,235.80","1,348.00","1,208.50","460.31K","7.20%"
"2013-6-1","1,224.80","1,391.20","1,424.00","1,182.60","49.24K","-12.15%"
"2013-5-1","1,394.20","1,476.90","1,488.50","1,338.00","660.85K","-5.38%"
"2013-4-1","1,473.50","1,602.60","1,604.10","1,323.00","166.47K","-7.76%"
"2013-3-1","1,597.40","1,581.40","1,618.30","1,562.50","602.97K","1.11%"
"2013-2-1","1,579.80","1,665.00","1,689.10","1,556.40","137.36K","-4.95%"
"2013-1-1","1,662.00","1,675.80","1,697.10","1,630.00","350.11K","-0.89%"
"2012-12-1","1,676.90","1,715.50","1,725.00","1,636.00","2.29M","-2.09%"
"2012-11-1","1,712.70","1,724.00","1,756.00","1,678.20","325.21K","-0.44%"
"2012-10-1","1,720.20","1,773.70","1,798.10","1,698.70","2.75M","-3.03%"
"2012-9-1","1,773.90","1,702.20","1,787.50","1,692.60","342.55K","5.19%"
"2012-8-1","1,686.40","1,615.80","1,688.80","1,584.20","211.66K","4.59%"
"2012-7-1","1,612.40","1,591.60","1,629.30","1,557.80","19.88K","0.44%"
"2012-6-1","1,605.30","1,561.80","1,642.40","1,545.50","2.94M","2.63%"
"2012-5-1","1,564.20","1,658.00","1,658.00","1,528.20","456.96K","-6.07%"
"2012-4-1","1,665.30","1,671.50","1,685.40","1,613.00","2.37M","-0.39%"
"2012-3-1","1,671.90","1,701.00","1,725.00","1,628.80","282.59K","-2.38%"
"2012-2-1","1,712.60","1,739.80","1,789.50","1,695.10","2.61M","-1.60%"
"2012-1-1","1,740.40","1,574.40","1,750.60","1,574.40","300.14K","10.99%"
"2011-12-1","1,568.00","1,752.50","1,767.10","1,550.90","2.46M","-10.42%"
"2011-11-1","1,750.30","1,724.80","1,804.00","1,670.60","349.60K","1.40%"
"2011-10-1","1,726.20","1,625.10","1,765.00","1,596.60","2.64M","6.40%"
"2011-9-1","1,622.30","1,877.30","1,915.50","1,540.00","350.54K","-11.36%"
"2011-8-1","1,830.30","1,620.60","1,915.00","1,608.10","358.12K","12.30%"
"2011-7-1","1,629.90","1,499.40","1,636.30","1,482.30","48.10K","8.42%"
"2011-6-1","1,503.30","1,536.60","1,559.30","1,490.80","2.62M","-2.18%"
